;refmc;t+10mcs;t-10mcs;afp+15;afp-15
271;34.33864049;18.74177617;32.00215017;22.99841773;29.89815004
272;17.58708718;10;31.60918223;10.00076528;26.67804146
273;15.50284891;10;28.76050438;10;30.88037889
274;21.55957363;10;31.1388881;10.89846414;26.66940994
275;22.04988221;10;30.05175082;10.19686813;27.98416955
276;27.96456244;23.41732149;33.48654479;24.84498352;32.58323992
277;25.76043399;11.02862846;31.03929631;10.00102704;30.25698372
278;37.74811005;37.44002176;37.31988721;43.28474558;41.54811469
279;22.38717715;10;30.52497549;13.04794422;26.17546228
280;18.44551845;10;32.89403816;10;24.99751829
281;24.07240497;10.00042557;31.51339108;16.19374292;27.1921284
282;22.92196499;10.00001768;36.90296899;16.96743499;25.54092044
283;33.50563692;33.87771055;37.52425281;37.58586738;32.026282
284;21.77933802;11.65671926;33.73271305;17.19743093;30.52304839
285;28.16466243;14.31787958;34.04401592;24.57664749;29.75967584
286;20.5992034;10;29.88659423;10;27.91016571
287;28.91081596;20.33434558;39.17278399;24.90141224;30.7367434
288;24.9251765;13.87228037;32.42963775;17.81957765;27.36648728
289;20.96371441;10;29.84657688;10;24.47556867
290;40.62741382;42.23775616;40.91634769;40.69606096;38.18803717
291;36.54112096;36.54805434;34.36638554;39.4477356;33.86766634
292;20.58117985;10;31.70938707;10;25.65692182
293;38.3199209;36.88989546;42.6326963;44.20657039;36.30420926
294;18.80276913;10;33.10567861;10;29.45168565
295;36.64089288;33.20950574;34.76100343;34.83663829;34.50761039
296;40.17533946;39.60198527;39.20703763;40.42884649;34.63084486
297;40.69971303;41.12449061;36.82320301;47.31421905;34.77381562
298;23.68416104;10;31.36311743;10.00000003;31.03597836
299;23.18067403;10;32.6084109;10.67160019;27.88828283
300;21.28068332;10;32.22398118;10.00000865;31.06050479
301;41.58749566;38.59487558;39.70577452;43.21485859;34.10657986
302;16.51525239;10;33.9911072;10;29.0728617
303;36.51175704;36.51674286;37.65959619;39.5841801;33.51362453
304;38.76053876;40.4343611;38.62567846;42.7867341;31.85780654
305;40.95909686;39.03370536;37.61477012;44.34703135;36.30061476
306;42.4644291;42.07572677;41.7959854;43.01847169;35.03730556
307;20.86804942;10;30.80850075;10.51681266;26.09596321
308;33.40711095;30.55152821;32.63948797;32.75019105;38.32491188
309;19.05520482;10;30.82105178;10.00002229;26.85931177
310;17.60377433;10;34.09251;12.72757293;27.3577942
311;39.91239634;39.02453027;41.76460545;44.16339678;35.37704622
312;20.12758647;10;28.33214484;10;26.46400013
313;40.80002396;37.59445247;39.52436902;38.11253644;35.15237574
314;19.5526351;10;31.21702592;10;30.07034934
315;22.622111;10;28.11754501;10.00000001;28.0928756
316;21.49944501;10;26.0188338;10.00000185;29.85522136
317;38.82085297;37.35630777;40.60052529;40.0173374;34.55792074
318;18.07937298;10;30.63478852;10.14932001;29.37123337
319;24.67014764;10.00000001;26.91421535;10.2542867;26.16188656
320;40.76738794;40.02489934;37.76388082;45.17476308;37.63247711
321;31.42455679;33.08894501;34.8087142;39.11623005;34.46451029
322;39.75772982;38.59006558;37.37299132;42.42016585;37.36806007
323;26.07102063;16.02895146;32.70459041;23.67082922;31.71327602
324;24.73244308;11.01232826;34.03464229;15.70578954;28.04072885
325;18.54533704;10;31.42567989;12.56554308;28.53507493
326;22.48181988;14.08390982;34.43091326;18.20313966;26.65242537
327;22.44591656;10;33.78024128;16.56113193;25.81248118
328;23.90864213;10;35.05886537;17.47537171;27.08187218
329;38.26864002;39.97713149;39.68270477;42.8698688;33.20588889
330;35.15475775;38.06847033;40.64202975;43.04463917;35.70239551
331;38.370618;38.90852436;37.93690836;42.66924038;38.34558411
332;40.08399401;39.9461006;37.81309786;40.3700486;38.46292498
333;22.42012196;10;30.69335948;10.00001406;28.39483556
334;28.70060382;16.01190131;33.72917788;20.58197413;28.93873033
335;31.71490159;30.94095671;38.34546087;31.1979962;36.61998076
336;38.15665982;37.41539498;36.77716269;42.51922502;36.22747799
337;23.3733034;10;31.64657022;10.00000876;28.88383153
338;33.78077911;30.96675475;35.58442246;31.99540334;33.87920803
339;22.24542503;10;34.50694604;11.92732255;23.24749532
340;17.73940396;10;30.78205876;10;28.29682526
341;22.75415294;10;31.06737875;10.48347056;26.71157048
342;33.49720706;28.23518702;39.33874108;32.90660267;33.99433126
343;23.10002547;10.47130139;35.6222474;10.2523404;29.76841418
344;39.17075913;40.01134223;39.04811774;43.67610698;36.38312624
345;19.66329352;10;31.54498378;12.45906266;33.22025655
346;23.13970192;14.54132609;29.5525522;16.04722537;28.75182293
